ProductId;Brand;Conditioning;DCI;DCIId;Dosage;FormId;Imported;Laboratory;PharmacologicalClass;Ppa;ProductClass;ProductName;Psychotropic;Refundable;TherapeuticClass;Thermolabile;SHP;TVA;MaxThreshold
00000011;NOVAROL;B/30;ACENOCOUMAROL;12 A 001;4MG;COMP. SEC.;0;NOVA ARGENTIA;ANTICOAGULANTS ORAUX;228.29;1;NOVAROL 4MG CP QUADRISEC B/30;0;1;HEMATOLOGIE ET HEMOSTASE;0;2.50;0.00;2703
00000015;ZANITRA;B/60;ACIDE FOLIQUE;12 E 020;5MG;COMP.;0;GROUPE SAIDAL;ANTI-ANEMIQUES;230.02;1;ZANITRA 5MG COMP B/60;0;1;HEMATOLOGIE ET HEMOSTASE;0;0.00;0.00;0
00000024;ACTIMAG;F/200ML;MAGNESIUM ELEMENT;14 G 162;61MG/5ML;SIROP;0;LAM;ELEMENTS MINERAUX & EQUILIBRE HYDRO-ELECTROLYTIQUE;273.04;1;ACTIMAG SIROP F/200ML;0;1;METABOLISME NUTRITION DIABETE;0;0.00;0.00;1131
00000029;ACTRAPID HM;F/10ML;INSULINE HUMAINE MONOCOMPOSEE;14 B 194;100UI/ML;SOL. INJ.;0;NOVO NORDISK;INSULINES;1019.89;1;ACTRAPID HM 100UI INJ F/10ML;0;1;METABOLISME NUTRITION DIABETE;1;1.50;0.00;7
00000046;AKARYD;B/20;LORATADINE;01 A 033;10MG;COMP. PELL.;0;MERINAL LABORATOIRES;ANTIHISTAMINIQUES;202.89;1;AKARYD 10MG COMP B/20;0;1;ALLERGOLOGIE;0;1.50;0.00;1681
00000057;ALERFEN;F/125ML;KETOTIFENE;20 A 013;1MG/5ML;SOL. BUV.;0;GROUPE SAIDAL;BRONCHODILATATEURS & ANTI-ASTHMATIQUES;120.00;1;ALERFENE SOL.BUV 125ML;0;1;PNEUMOLOGIE;0;2.50;0.00;1237
00000059;ALLERTINE;F/60ML;LORATADINE;01 A 034;0,10%;SIROP;0;GROUPE SAIDAL;ANTIHISTAMINIQUES;111.93;1;ALLERTINE 0.1% SIROP FL/60ML;0;1;ALLERGOLOGIE;0;1.50;0.00;929
00000060;ALLERTINE;B/20;LORATADINE;01 A 033;10MG;COMP.;0;GROUPE SAIDAL;ANTIHISTAMINIQUES;118.51;1;ALLERTINE 10MG COMP B/20;0;1;ALLERGOLOGIE;0;1.50;0.00;1599
00000078;ALPROFEN;B/10;KETOPROFENE;04 B 017;100MG;SUPPO.;0;SALEM LABORATOIRES;ANTI-INFLAMMATOIRES NON STEROIDIENS;220.00;1;ALPROFENE 100MG SUPP B/10;0;1;ANTI-INFLAMMATOIRES;0;1.50;0.00;2513
00000114;AMLOR;B/28;AMLODIPINE;06 B 123;5MG;GLES.;0;PFIZER;ANTAGONISTES CALCIQUES;568.98;1;AMLOR 5MG GLES B/28;0;1;CARDIOLOGIE ET ANGEIOLOGIE;0;2.50;0.00;2946
00000117;AMOCLAN BID;PIL/10;AMOXICILLINE/ACIDE CLAVULANIQUE;13 G 267;875MG/125MG;COMP.;0;HIKMA PHARMACEUTICALS;PENICILLINES;572.60;1;AMOCLAN 1G COMP B/10;0;1;INFECTIOLOGIE;0;2.50;0.00;27152
